"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.00","100.00","0.00","0.00","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"0.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","0.00","500.00","0.00","0.00","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"0.00","car7","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"0.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","232.36","300.00","2.77","2.77","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"0.00","car9","0.00","E12","E12_0","E12_0","E7_0","267.61","267.61","300.00","11.81","11.81","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"1.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.71","100.00","0.00","0.71","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"1.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","0.77","500.00","0.00","0.77","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"1.00","car7","0.00","E0","E0_0","E0_0","","0.00","0.78","-1.00","0.00","0.78","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"1.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","234.98","300.00","2.77","2.62","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"1.00","car9","0.00","E12","E12_0","E12_0","E7_0","267.61","279.36","300.00","11.81","11.75","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"2.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","2.19","100.00","0.00","1.47","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"2.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","2.19","500.00","0.00","1.42","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"2.00","car7","0.00","E0","E0_0","E0_0","","0.00","2.05","-1.00","0.00","1.28","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"2.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","237.84","300.00","2.77","2.85","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"2.00","car9","0.00","E12","E12_0","E12_0","E7_0","267.61","290.45","300.00","11.81","11.10","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"3.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","4.19","100.00","0.00","2.00","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"3.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","4.03","500.00","0.00","1.83","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"3.00","car7","0.00","E0","E0_0","E0_0","","0.00","3.81","-1.00","0.00","1.75","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"3.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","240.83","300.00","2.77","3.00","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"3.00","car9","0.00","E12","E12_0","E12_0","E7_0","267.61","297.09","300.00","11.81","6.64","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"4.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","6.74","100.00","0.00","2.55","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"4.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","6.36","500.00","0.00","2.34","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"4.00","car7","0.00","E0","E0_0","E0_0","","0.00","6.34","-1.00","0.00","2.53","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"4.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","243.80","300.00","2.77","2.97","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"4.00","car9","0.00","E4","E12_0","E4_0","E7_0","267.61","4.13","300.00","11.81","7.04","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"5.00","car4","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.00","100.00","0.00","0.00","14.27","5.00","0.00","50.00","55.00","500.00","0","1.03","","46","route2"
"5.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","9.82","100.00","0.00","3.07","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"5.00","car2","5.00","-E7","-E7_0","-E7_0","-E0_0","0.00","0.00","500.00","0.00","0.00","13.66","5.00","0.00","112.00","117.00","1300.00","0","1.01","","46","route1"
"5.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","9.12","500.00","0.00","2.76","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"5.00","car8","5.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","0.00","125.00","-1.00","674.16","0","0.94","end","46","route0"
"5.00","car7","0.00","E0","E0_0","E0_0","","0.00","9.37","-1.00","0.00","3.03","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"5.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","246.59","300.00","2.77","2.79","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"5.00","car9","0.00","E4","E12_0","E4_0","E7_0","267.61","11.87","300.00","11.81","7.73","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"6.00","car4","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.46","100.00","0.00","0.46","14.27","5.00","0.00","50.00","55.00","500.00","0","1.03","","46","route2"
"6.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","13.59","100.00","0.00","3.77","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"6.00","car2","5.00","-E7","-E7_0","-E7_0","-E0_0","0.00","0.66","500.00","0.00","0.66","13.66","5.00","0.00","112.00","117.00","1300.00","0","1.01","","46","route1"
"6.00","car1","0.00","-E7","-E7_0","-E7_0","-E0_0","0.00","12.52","500.00","0.00","3.40","13.02","0.00","0.00","115.00","115.00","1300.00","0","0.94","","46","route1"
"6.00","car8","5.00","E0","E0_0","E0_0","","0.00","0.57","-1.00","0.00","0.57","-1.00","5.00","0.00","125.00","-1.00","674.16","0","0.94","end","46","route0"
"6.00","car7","0.00","E0","E0_0","E0_0","","0.00","12.97","-1.00","0.00","3.61","-1.00","0.00","0.00","130.00","-1.00","675.70","0","0.89","end","46","route0"
"6.00","car3","0.00","E12","E12_0","E12_0","E7_0","232.36","249.33","300.00","2.77","2.74","14.77","0.00","0.00","66.00","66.00","567.64","0","1.08","","46","route0"
"6.00","car9","0.00","E4","E12_0","E4_0","E7_0","267.61","20.17","300.00","11.81","8.31","25.96","0.00","0.00","35.00","35.00","532.39","0","4.25","","46","route0"
"7.00","car4","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","1.37","100.00","0.00","0.91","14.27","5.00","0.00","50.00","55.00","500.00","0","1.03","","46","route2"
"7.00","car0","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","18.04","100.00","0.00","4.45","14.67","0.00","0.00","51.00","51.00","500.00","0","1.06","","46","route2"
"7.00","car2","5.00","-E7","-E7_0","-E7_0","-E0_0","0.00","1.85","500.00","0.00","1.20","13.66","5.00","0.00","112.00","117.00","1300.00","0","1.01","","46","route1"
